"moy","var","ICmin","ICmax","df","tStudent","BiomRel","Year"
10.8672245679335,16.6328943370982,-2.06901699678533,23.8034661326522,3.01766265626311,3.17193444042102,1261849.73672758,1990
9.00360791238221,60.5169358937832,-89.7154069531405,107.722622777905,1.00053965452388,12.6900211962282,1045455.5533307,1991
5.65261531923764,8.28943076967892,-0.450250912324226,11.7554815507995,16.0204093947019,2.11968582893217,656354.445223238,1992
7.08920055734332,6.9191715224581,-1.84354427073101,16.0219453854177,2.69537196677682,3.39592335531202,823163.798720853,1993
6.04176162558526,24.6549537246071,-15.294377005283,27.3779002564535,2.00275592267545,4.29698392150228,701540.238628319,1994
3.66338280723385,0.0234617610393584,3.25196492927017,4.07480068519753,4.37077064015072,2.68598050527645,425374.354044423,1995
9.50392060229936,10.6607727391206,2.34464100185062,16.6632002027481,11.3523727868167,2.19267861562493,1103549.4513731,1996
12.0474932812529,23.9612212914629,-15.2814562533012,39.3764428158071,1.58541753946985,5.5830107444941,1398896.85081452,1997
2.69899452904002,1.51411767596532,-2.87010416017525,8.26809321825528,1.90049818074403,4.52590151445674,313394.235539016,1998
14.1713981837524,0.0115959952738832,13.9429351720732,14.3998611954316,15.8449884612186,2.12159206627884,1645514.4508558,1999
5.88589988152789,0.84607738781437,1.99313025384816,9.77866950920762,2.03522184718206,4.23207795662543,683442.324163108,2000
2.71138102233051,0.195361383537555,0.818777940483273,4.60398410417775,2.01013223927748,4.28193609855311,314832.495436922,2001
6.63253564604106,0.00801006301571805,6.423100833347,6.84197045873512,7.38138085719208,2.3400810856822,770138.070348603,2002
5.43377236481902,12.1104341166232,-7.30494806137548,18.1724927910135,2.4200788787565,3.66054669048544,630943.456180768,2003
2.38326311461289,1.81302897655953,-2.94818015275744,7.71470638198323,2.19292010343083,3.95951889309067,276733.025523435,2004
2.30281529535023,0.0688353171414288,1.66226440952958,2.94336618117087,6.05586281592553,2.44145080258613,267391.812509724,2005
2.74007760807007,0.648986616266129,0.857113431072723,4.62304178506742,7.42682652720958,2.3373523568757,318164.604655249,2006
6.45217333637341,13.2409202291788,-6.40972041660064,19.3140670893475,2.54005492056441,3.53464525187916,749195.26829763,2007
4.74988798137097,6.18298380740494,-2.82070133307616,12.3204772958181,3.25782260260419,3.04460273285445,562348.350265464,2008
7.24857955175304,12.5607249220055,-4.64850223866537,19.1456613421714,2.74442220821222,3.35685896298221,858173.238754941,2009
10.0675505332878,15.7292467406108,-3.18517702265465,23.3202780892302,2.76433527997837,3.34157572591785,1191916.6211525,2010
13.9775363355986,20.8320864569256,0.149188508752532,27.8058841624446,3.28947955024169,3.02972988124212,1654827.34117673,2011
2.67693644875535,0.623571875669137,0.248896928809319,5.10497596870137,3.19612993874715,3.07476898374218,316927.641583783,2012
1.81350976448478,0.189784860242681,-0.0669759889955699,3.69399551796514,1.99328410945992,4.31657474398765,214704.900041448,2013
0.534079967070853,0.0261215654545128,-0.115538892579717,1.18369882672142,2.15493875908091,4.01937960559535,63230.7518766873,2014
1.59252882143264,0.955166761962215,-4.8095721823999,7.99462982526517,1.41488973674993,6.55062775351936,188542.542265251,2015
0.24427320920015,0.00228329271584267,0.138453576556229,0.350092841844071,10.4738691127838,2.21454981506563,28919.9738491741,2016
0.488526770152159,0.0371605537824219,-0.118919887736093,1.09597342804041,3.05349672588059,3.15113535381732,57837.6215045577,2017
1.37743264396519,0.420885758381049,-1.35226906125479,4.10713434918517,2.04792601321832,4.20758671999857,163076.89317592,2018
1.16627518112749,0.0381957651132967,0.515090343147437,1.81746001910755,2.77711377698596,3.33193616996112,138077.556067606,2019
